location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Algeria,04/04/2020,185,42,43851043,6.211,13913.839,1.9
Algeria,05/04/2020,80,25,43851043,6.211,13913.839,1.9
Algeria,06/04/2020,69,22,43851043,6.211,13913.839,1.9
Algeria,07/04/2020,103,21,43851043,6.211,13913.839,1.9
Algeria,08/04/2020,45,20,43851043,6.211,13913.839,1.9
Algeria,09/04/2020,104,12,43851043,6.211,13913.839,1.9
Algeria,10/04/2020,94,30,43851043,6.211,13913.839,1.9
Algeria,11/04/2020,95,21,43851043,6.211,13913.839,1.9
Algeria,12/04/2020,64,19,43851043,6.211,13913.839,1.9
Algeria,13/04/2020,89,18,43851043,6.211,13913.839,1.9
Algeria,14/04/2020,69,20,43851043,6.211,13913.839,1.9
Algeria,15/04/2020,87,12,43851043,6.211,13913.839,1.9
Algeria,16/04/2020,90,11,43851043,6.211,13913.839,1.9
Algeria,17/04/2020,108,12,43851043,6.211,13913.839,1.9
Algeria,18/04/2020,150,16,43851043,6.211,13913.839,1.9
Algeria,19/04/2020,117,3,43851043,6.211,13913.839,1.9
Algeria,20/04/2020,94,8,43851043,6.211,13913.839,1.9
Algeria,21/04/2020,89,9,43851043,6.211,13913.839,1.9
Algeria,22/04/2020,93,8,43851043,6.211,13913.839,1.9
Algeria,23/04/2020,99,10,43851043,6.211,13913.839,1.9
Algeria,24/04/2020,97,5,43851043,6.211,13913.839,1.9
Algeria,25/04/2020,120,8,43851043,6.211,13913.839,1.9
Algeria,26/04/2020,129,4,43851043,6.211,13913.839,1.9
Algeria,27/04/2020,126,6,43851043,6.211,13913.839,1.9
Algeria,28/04/2020,135,7,43851043,6.211,13913.839,1.9
Algeria,29/04/2020,132,5,43851043,6.211,13913.839,1.9
Algeria,30/04/2020,199,7,43851043,6.211,13913.839,1.9
Algeria,01/05/2020,158,6,43851043,6.211,13913.839,1.9
Algeria,02/05/2020,148,3,43851043,6.211,13913.839,1.9
Algeria,03/05/2020,141,6,43851043,6.211,13913.839,1.9
Algeria,04/05/2020,179,4,43851043,6.211,13913.839,1.9
